time,VLA,VLV,VRA,VRV,pARSYS
0.5901,99.192154908,105.26692143,102.53022524,86.904338684,110.60565121
0.6001,99.180851704,108.0243154,101.80245976,88.644441806,109.6473285
0.6101,99.437195616,110.50948066,101.23028323,90.230082681,108.70156634
0.6201,99.899083486,112.76468456,100.79404927,91.680666228,107.76819695
0.6301,100.51873657,114.82365717,100.47658529,93.013153262,106.84705485
0.6401,101.25829989,116.71432385,100.26288096,94.24236826,105.93797678
0.6501,101.99059076,118.55099652,100.13981597,95.381268383,105.04080174
0.6601,102.23535209,120.76318965,100.095922,96.441178615,104.15537093
0.6701,101.58824,123.65174082,100.12117474,97.431997303,103.28152767
0.6801,99.862282812,127.29357582,100.20681202,98.362375812,102.41911746
0.6901,97.098249831,131.56374979,100.25549184,99.328227214,101.56798784
0.7001,93.542456303,136.17571374,99.822841055,100.76446138,100.72798878
0.7101,89.572301412,140.76061398,98.516992083,103.05239958,99.898973814
0.7201,85.593273729,144.96352759,96.186462085,106.33775803,99.080800394
0.7301,81.947288063,148.52121309,92.945956264,110.50606602,98.273329263
0.7401,78.864748587,151.29494254,89.132684543,115.22597191,97.476423302
0.7501,76.467127904,153.25629257,85.206980362,120.04678343,96.689946342
0.7601,74.799434495,154.44807859,81.637590713,124.5106692,95.91376227
0.7701,73.805844797,155.0022307,78.74482105,128.30629751,95.147734614
0.7801,73.233426604,155.21399658,76.481909557,131.48144146,94.391726872
0.7901,72.905999001,155.26172771,74.733837207,134.14931341,93.645603676
0.8001,72.697244117,155.26148864,73.407563716,136.40146984,92.909231539
0.8101,72.549334301,155.26149776,72.427978542,138.31183134,92.182479005
0.8201,72.455481415,155.26150678,71.734541528,139.9399878,91.465216629
0.8301,72.411159959,155.26151569,71.278529087,141.33390757,90.75731691
0.8401,72.413205134,155.26152447,71.020782758,142.53215224,90.05865423
0.8501,72.459324146,155.26153309,71.099387897,143.39609885,89.369104802
0.8601,72.547803547,155.26154144,71.963214946,143.47526032,88.688546659
0.8701,72.67733044,155.26154932,72.905016357,143.47526218,88.016859791
0.8801,72.846880318,155.26155642,73.845729157,143.47526338,87.353926136
0.8901,73.055644307,155.26156225,74.785574729,143.47526373,86.699629357
0.9001,73.30298004,155.26156614,75.724773151,143.47526304,86.053854745
0.9101,73.588376967,155.26156713,76.663542226,143.41147989,85.41648919
0.9201,73.911432969,155.26156401,77.602096569,139.73016122,84.787421155
0.9301,74.271927208,153.56440665,78.540646652,131.93371928,85.580347905
0.9401,74.670209239,148.43867642,79.479400511,122.06613637,89.221510215
0.9501,75.107632589,142.37187894,80.418574522,111.77433142,93.610440062
0.9601,75.586616211,135.72844817,81.358393019,102.15855936,98.428168874
0.9701,76.11033658,128.79724316,82.299080743,93.792852657,103.42592805
0.9801,76.682235937,121.81464867,83.240858173,86.854205786,108.40296215
0.9901,77.305532514,114.96894164,84.183938314,81.281609162,113.20164183
